#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
2800,8.400000000000206,-356395.8036183831,66030.21662859176,301.4808920318162,253.20200742164087,1.0395420733986411
2900,8.700000000000218,-356090.6004933831,65758.70561035734,300.24122649453346,253.20200742164087,1.0395420733986411
3000,9.00000000000023,-355846.6786183831,65925.97212712839,301.0049322834579,253.20200742164087,1.0395420733986411
3100,9.30000000000024,-355511.7958058831,65626.05088130618,299.63555127357307,253.70782996247047,1.0374695168955819
3200,9.600000000000252,-355738.6083058831,66270.69473996549,302.5788674623509,253.70403334832775,1.0374850423540796
3300,9.900000000000263,-354699.6786183831,65500.884682661854,299.0640671993684,253.9859184920737,1.036333594187053
3400,10.200000000000275,-355245.3426808831,65800.39869221591,300.4315888491048,253.915700074927,1.0366201842033391
3500,10.500000000000286,-355192.6551808831,65534.6679642183,299.21831497227345,253.89311237951395,1.0367124075045557
3600,10.800000000000297,-355142.3426808831,65728.8418984506,300.1048747003894,253.10657632423096,1.039934021495403
3700,11.100000000000309,-356008.5926808831,66473.83687084308,303.5063742002237,252.7142952887245,1.041548280769278
3800,11.40000000000032,-355702.6317433831,66042.85923167923,301.5386156536824,252.7142952887245,1.041548280769278
3900,11.700000000000331,-355760.8583058831,65867.4028147115,300.7375164024461,253.0927852433742,1.0399906877261782
4000,12.000000000000343,-355543.5145558831,65569.1115104584,299.3755773829606,252.47336432790965,1.0425422122625616
4100,12.300000000000354,-356005.0223683831,66179.4306240617,302.16217358372967,253.07505940896993,1.040063530552949
4200,12.600000000000366,-355426.1786183831,65806.66194020759,300.4601855990166,253.07505940896993,1.040063530552949
4300,12.900000000000377,-356516.4754933831,66543.07833052496,303.82251699205943,253.28439973677425,1.039203914877252
4400,13.200000000000388,-355694.1161183831,64814.88875351427,295.9319456463997,252.2781876885102,1.043348781737655
4500,13.5000000000004,-356186.8583058831,65210.01382941776,297.7360084895911,252.54934417540633,1.0422285618804743
4600,13.800000000000411,-356718.1551808831,65734.96935445804,300.1328514509944,252.56671411888445,1.0421568839823223
4700,14.100000000000422,-356271.2958058831,65522.887204926286,299.1645263584916,253.2549193299242,1.0393248845085303
4800,14.400000000000434,-356948.6395558831,65581.33363897982,299.431381201232,253.46642704142874,1.0384576089864896
4900,14.700000000000445,-356462.9754933831,65251.32391546632,297.9246221611452,253.46642704142874,1.0384576089864896
5000,15.000000000000457,-355121.3973683831,65325.111052589025,298.26151961591734,253.46642704142874,1.0384576089864896
5100,15.300000000000468,-355959.2958058831,65981.99341158825,301.26071437344746,253.16556644074194,1.0396917064367075
5200,15.60000000000048,-355905.1629933831,65614.52675579456,299.5829343988069,253.16556644074194,1.0396917064367075
5300,15.90000000000049,-355940.7098683831,65060.62769062607,297.05394096536304,253.16556644074194,1.0396917064367075
5400,16.2000000000005,-356386.0536183831,65286.177529391134,298.083756859668,252.5419418330976,1.0422591109945063
5500,16.50000000000051,-356597.1629933831,65683.35236165044,299.8971784844317,252.94501307201398,1.0405982572538524
5600,16.800000000000523,-355987.9598683831,65286.699088741734,298.08613819636946,252.94501307201398,1.0405982572538524
5700,17.100000000000534,-356823.7020558831,65803.99518448013,300.44800972050825,252.16112618855618,1.0438331386058668
5800,17.400000000000546,-356483.3114308831,65612.37405759236,299.57310560515134,252.36046343344364,1.043008624261817
5900,17.700000000000557,-356669.0458058831,66107.72648293013,301.8347866761216,252.36046343344364,1.043008624261817
