#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
4400,17.599999999999216,-225680.63176043762,40717.10797661496,300.2908061611754,157.1255532216517,1.0404165149604898
4500,17.99999999999935,-226165.63176043762,40594.5088938378,299.3866314977165,156.52893455897853,1.0443821198598506
4600,18.399999999999483,-225987.75676043762,40615.39995163458,299.5407041443042,156.87855223888053,1.0420546222608127
4700,18.799999999999617,-226336.50676043762,40679.02884067141,300.0099705370692,157.56689513894295,1.0375023278205502
4800,19.19999999999975,-226220.06926043762,40725.74937271699,300.3545369105038,157.32780521678131,1.0390790125677842
4900,19.599999999999884,-226123.25676043762,40714.01582026956,300.26800134600353,157.32780521678131,1.0390790125677842
5000,20.000000000000018,-225928.50676043762,40713.42955813883,300.26367763205116,157.79882232255343,1.0359774432280093
5100,20.40000000000015,-225277.75676043762,41083.38890272677,302.99214719567976,157.6301706263936,1.037085856371822
5200,20.800000000000285,-224950.88176043762,41273.25710009661,304.3924351062383,157.6301706263936,1.037085856371822
5300,21.20000000000042,-225228.06926043762,41143.88044443214,303.4382754873814,158.05948624327078,1.034268960247678
5400,21.600000000000552,-225327.94426043762,41531.11078017438,306.29411951630607,157.88646708895652,1.0354023591015185
5500,22.000000000000686,-225009.81926043762,41144.707992699,303.44437869923854,157.88646708895652,1.0354023591015185
5600,22.40000000000082,-225747.75676043762,41135.02190117363,303.3729432663887,158.08324236984694,1.0341135343849166
5700,22.800000000000953,-225580.38176043762,40718.611960841925,300.3018981237044,158.27592433585605,1.032854625111646
5800,23.200000000001086,-225824.38176043762,40761.25944249518,300.616425536942,157.79562354725024,1.0359984441847252
5900,23.60000000000122,-225519.75676043762,40406.1938849882,297.99779843392974,157.55338731009428,1.0375912780114256
